refs/tags/0.1, 2015-01-20 00:20:39 +0200
refs/tags/v0.1, 2015-01-20 00:20:39 +0200
refs/tags/0.2, 2015-03-11 22:13:30 +0200
refs/tags/v0.2, 2015-03-11 22:13:30 +0200
refs/tags/0.2pypi, 2015-03-14 20:23:30 +0200
refs/tags/0.2.1, 2015-05-03 20:16:10 +0300
refs/tags/v0.2.1, 2015-05-03 20:16:10 +0300
refs/tags/0.2.2, 2015-05-12 21:09:12 +0300
refs/tags/v0.2.2, 2015-05-12 21:09:12 +0300
refs/tags/0.2.2pypi, 2015-05-22 23:15:45 +0300
refs/tags/0.2.3, 2015-07-12 19:32:21 +0300
refs/tags/v0.2.3, 2015-07-12 19:32:21 +0300
refs/tags/0.2.3pypi, 2015-07-12 20:00:02 +0300
refs/tags/0.2.4, 2015-08-08 18:02:45 +0300
refs/tags/v0.2.4, 2015-08-08 18:02:45 +0300
refs/tags/0.2.4pypi, 2015-08-08 18:08:07 +0300
refs/tags/0.2.5, 2016-04-23 11:19:57 -0400
refs/tags/v0.2.5, 2016-04-23 11:19:57 -0400
refs/tags/0.3, 2017-05-06 18:41:22 +0300
refs/tags/0.4, 2017-08-15 00:50:01 +0300
refs/tags/0.4.1, 2017-08-31 00:40:44 +0300
refs/tags/0.5, 2017-09-29 20:43:54 +0300
refs/tags/0.5.1, 2017-10-16 00:39:38 +0300
refs/tags/0.5.2, 2017-11-03 20:38:00 +0200
refs/tags/0.5.3, 2017-11-04 17:53:15 +0200
refs/tags/0.6, 2018-05-05 00:04:00 +0300
refs/tags/0.6.1, 2018-05-05 13:28:36 +0300
refs/tags/1.0.dev, 2018-05-28 01:46:11 +0300
refs/tags/0.6.2, 2018-05-28 01:54:18 +0300
refs/tags/0.7, 2018-08-03 17:09:37 +0300
refs/tags/0.8, 2018-11-30 17:02:37 +0000
refs/tags/0.9, 2019-02-12 11:20:26 +0000
refs/tags/1.0, 2019-10-12 23:39:10 +0000
refs/tags/1.1, 2020-02-27 20:58:36 +0000
refs/tags/1.1.1, 2020-02-28 21:04:47 +0000
refs/tags/1.1.2, 2020-03-04 21:14:03 +0000
refs/tags/1.2, 2020-03-21 19:02:11 +0000
refs/tags/1.3, 2020-04-01 20:13:21 +0000
refs/tags/1.3.1, 2020-04-01 20:55:20 +0000
refs/tags/1.3.2, 2020-06-03 22:43:02 +0000
refs/tags/1.3.3, 2020-07-10 08:55:41 +0000
refs/tags/1.3.4, 2020-07-16 09:15:27 +0000
refs/tags/1.4, 2020-10-05 17:37:00 +0000
refs/tags/1.5, 2021-05-09 21:39:16 +0000
refs/tags/1.5.1, 2021-05-30 19:40:20 +0000
refs/tags/1.6, 2021-09-02 21:39:25 +0000
refs/tags/1.7, 2022-01-07 08:29:10 +0000
refs/tags/1.8, 2022-08-01 18:21:35 +0000
refs/tags/1.8.1, 2022-09-09 20:09:23 +0000
